# NATIVE-timeline level-1 bot v3: continues grind, long horizon
14571,a,0
14620,a,1
14626,a,0
14675,a,1
14681,a,0
14700,start,1
14708,start,0
14730,a,1
14736,a,0
14785,a,1
14791,a,0
14840,a,1
14846,a,0
14895,a,1
14901,a,0
14950,a,1
14956,a,0
15000,start,1
15005,a,1
15008,start,0
15011,a,0
15060,a,1
15066,a,0
15115,a,1
15121,a,0
15170,a,1
15176,a,0
15225,a,1
15231,a,0
15280,a,1
15286,a,0
15300,start,1
15308,start,0
15335,a,1
15341,a,0
15390,a,1
15396,a,0
15445,a,1
15451,a,0
15500,a,1
15506,a,0
15555,a,1
15561,a,0
15600,start,1
15608,start,0
15610,a,1
15616,a,0
15665,a,1
15671,a,0
15720,a,1
15726,a,0
15775,a,1
15781,a,0
15830,a,1
15836,a,0
15885,a,1
15891,a,0
15900,start,1
15908,start,0
15940,a,1
15946,a,0
15995,a,1
16001,a,0
16050,a,1
16056,a,0
16105,a,1
16111,a,0
16160,a,1
16166,a,0
16200,start,1
16208,start,0
16215,a,1
16221,a,0
16270,a,1
16276,a,0
16325,a,1
16331,a,0
16380,a,1
16386,a,0
16435,a,1
16441,a,0
16490,a,1
16496,a,0
16500,start,1
16508,start,0
16545,a,1
16551,a,0
16600,a,1
16606,a,0
16655,a,1
16661,a,0
16710,a,1
16716,a,0
16765,a,1
16771,a,0
16800,start,1
16808,start,0
16820,a,1
16826,a,0
16875,a,1
16881,a,0
16930,a,1
16936,a,0
16985,a,1
16991,a,0
17040,a,1
17046,a,0
17095,a,1
17100,start,1
17101,a,0
17108,start,0
17150,a,1
17156,a,0
17205,a,1
17211,a,0
17260,a,1
17266,a,0
17315,a,1
17321,a,0
17370,a,1
17376,a,0
17400,start,1
17408,start,0
17425,a,1
17431,a,0
17480,a,1
17486,a,0
17535,a,1
17541,a,0
17590,a,1
17596,a,0
17645,a,1
17651,a,0
17700,a,1
17700,start,1
17706,a,0
17708,start,0
17755,a,1
17761,a,0
17810,a,1
17816,a,0
17865,a,1
17871,a,0
17920,a,1
17926,a,0
17975,a,1
17981,a,0
18000,start,1
18008,start,0
18030,a,1
18036,a,0
18085,a,1
18091,a,0
18140,a,1
18146,a,0
18195,a,1
18201,a,0
18250,a,1
18256,a,0
18300,start,1
18305,a,1
18308,start,0
18311,a,0
18360,a,1
18366,a,0
18415,a,1
18421,a,0
18470,a,1
18476,a,0
18525,a,1
18531,a,0
18580,a,1
18586,a,0
18600,start,1
18608,start,0
18635,a,1
18641,a,0
18690,a,1
18696,a,0
18745,a,1
18751,a,0
18800,a,1
18806,a,0
18855,a,1
18861,a,0
18900,start,1
18908,start,0
18910,a,1
18916,a,0
18965,a,1
18971,a,0
19020,a,1
19026,a,0
19075,a,1
19081,a,0
19130,a,1
19136,a,0
19185,a,1
19191,a,0
19200,start,1
19208,start,0
19240,a,1
19246,a,0
19295,a,1
19301,a,0
19350,a,1
19356,a,0
19405,a,1
19411,a,0
19460,a,1
19466,a,0
19500,start,1
19508,start,0
19515,a,1
19521,a,0
19570,a,1
19576,a,0
19625,a,1
19631,a,0
19680,a,1
19686,a,0
19735,a,1
19741,a,0
19790,a,1
19796,a,0
19800,start,1
19808,start,0
19845,a,1
19851,a,0
19900,a,1
19906,a,0
19955,a,1
19961,a,0
20010,a,1
20016,a,0
20065,a,1
20071,a,0
20100,start,1
20108,start,0
20120,a,1
20126,a,0
20175,a,1
20181,a,0
20230,a,1
20236,a,0
20285,a,1
20291,a,0
20340,a,1
20346,a,0
20395,a,1
20400,start,1
20401,a,0
20408,start,0
20450,a,1
20456,a,0
20505,a,1
20511,a,0
20560,a,1
20566,a,0
20615,a,1
20621,a,0
20670,a,1
20676,a,0
20700,start,1
20708,start,0
20725,a,1
20731,a,0
20780,a,1
20786,a,0
20835,a,1
20841,a,0
20890,a,1
20896,a,0
20945,a,1
20951,a,0
21000,a,1
21000,start,1
21006,a,0
21008,start,0
21055,a,1
21061,a,0
21110,a,1
21116,a,0
21165,a,1
21171,a,0
21220,a,1
21226,a,0
21275,a,1
21281,a,0
21300,start,1
21308,start,0
21330,a,1
21336,a,0
21385,a,1
21391,a,0
21440,a,1
21446,a,0
21495,a,1
21501,a,0
21550,a,1
21556,a,0
21600,start,1
21605,a,1
21608,start,0
21611,a,0
21660,a,1
21666,a,0
21715,a,1
21721,a,0
21770,a,1
21776,a,0
21825,a,1
21831,a,0
21880,a,1
21886,a,0
21900,start,1
21908,start,0
21935,a,1
21941,a,0
21990,a,1
21996,a,0
22045,a,1
22051,a,0
22100,a,1
22106,a,0
22155,a,1
22161,a,0
22200,start,1
22208,start,0
22210,a,1
22216,a,0
22265,a,1
22271,a,0
22320,a,1
22326,a,0
22375,a,1
22381,a,0
22430,a,1
22436,a,0
22485,a,1
22491,a,0
22500,start,1
22508,start,0
22540,a,1
22546,a,0
22595,a,1
22601,a,0
22650,a,1
22656,a,0
22705,a,1
22711,a,0
22760,a,1
22766,a,0
22800,start,1
22808,start,0
22815,a,1
22821,a,0
22870,a,1
22876,a,0
22925,a,1
22931,a,0
22980,a,1
22986,a,0
23035,a,1
23041,a,0
23090,a,1
23096,a,0
23100,start,1
23108,start,0
23145,a,1
23151,a,0
23200,a,1
23206,a,0
23255,a,1
23261,a,0
