key,bank,addr,pitch,flip,height,rows_walked,words,bytes,native,zoomed_seen,count,first_frame,w0,w1,w2,w3,w4,w5,w6,w7
4_0C9B_0006_012,4,0x0C9B,6,0,18,18,86,198,1,0,1,3127,0xE0CE,0x01C6,0x0006,0x0C9B,0xF48D,0x0000,0x0000,0x0D0B
4_0C9B_0006_018,4,0x0C9B,6,0,24,24,116,264,1,0,1,3302,0xE0C8,0x018E,0x0006,0x0C9B,0xF48D,0x0000,0x0000,0x0D2F
4_0C9B_0006_01A,4,0x0C9B,6,0,26,26,126,286,1,0,1,3126,0xE0C6,0x01C6,0x0006,0x0C9B,0xF48D,0x0000,0x0000,0x0D3B
4_0C9B_0006_020,4,0x0C9B,6,0,32,32,162,364,1,0,1,3301,0xE0C0,0x018E,0x0006,0x0C9B,0xF48D,0x0000,0x0000,0x0D60
4_0C9B_0006_02A,4,0x0C9B,6,0,42,42,222,494,1,0,1,3124,0xE0B6,0x01C6,0x0006,0x0C9B,0xF48D,0x0000,0x0000,0x0D9C
4_0C9B_0006_030,4,0x0C9B,6,0,48,48,258,572,1,0,1,3299,0xE0B0,0x018F,0x0006,0x0C9B,0xF48D,0x0000,0x0000,0x0DC0
4_0C9B_0006_031,4,0x0C9B,6,0,49,49,264,585,1,0,1,3123,0xE0AF,0x01C6,0x0006,0x0C9B,0xF48D,0x0000,0x0000,0x0DC6
4_0C9B_0006_048,4,0x0C9B,6,0,72,72,402,884,1,0,1,3119,0xE098,0x01C7,0x0006,0x0C9B,0xF48D,0x0000,0x0000,0x0E50
4_0C9B_0006_049,4,0x0C9B,6,0,73,73,408,897,1,0,1,3295,0xE097,0x0190,0x0006,0x0C9B,0xF48D,0x0000,0x0000,0x0E56
4_0C9B_0006_04E,4,0x0C9B,6,0,78,78,438,962,1,0,1,3294,0xE092,0x0190,0x0006,0x0C9B,0xF48D,0x0000,0x0000,0x0E74
4_0C9B_0006_052,4,0x0C9B,6,0,82,82,462,1014,1,0,1,3293,0xE08E,0x0190,0x0006,0x0C9B,0xF48D,0x0000,0x0000,0x0E8C
4_31F0_000F_018,4,0x31F0,15,0,24,24,320,672,1,0,1,2920,0xE0C8,0x019B,0x000F,0x31F0,0xF48A,0x0000,0x0000,0x3366
4_31F0_000F_019,4,0x31F0,15,0,25,25,335,703,1,0,1,2921,0xE0C7,0x019B,0x000F,0x31F0,0xF48A,0x0000,0x0000,0x3375
