key,bank,addr,pitch,flip,height,rows_walked,words,bytes,native,zoomed_seen,count,first_frame,w0,w1,w2,w3,w4,w5,w6,w7
3_6FA6_000F_014,3,0x6FA6,15,0,20,20,266,560,1,0,72,1149,0xA692,0x00EF,0x000F,0x6FA6,0xF3C9,0x0000,0x0000,0x70DA
3_3014_0116_035,3,0x3014,22,1,53,53,1059,2179,1,0,67,4812,0x5D28,0x00AC,0x0116,0x3014,0xF391,0x0000,0x0000,0x3490
0_385B_010D_020,0,0x385B,13,1,32,32,351,742,1,0,64,4635,0xB898,0x017E,0x010D,0x385B,0xF082,0x0000,0x0000,0x39EF
3_A848_010C_03E,3,0xA848,12,1,62,62,567,1204,1,0,64,5228,0xB87A,0x0109,0x010C,0xA848,0xF392,0x0000,0x0000,0xAB2A
4_B658_0113_025,4,0xB658,19,1,37,37,653,1351,1,0,64,4930,0xB893,0x01EF,0x0113,0xB658,0xF491,0x0000,0x0000,0xB905
3_653D_0106_020,3,0x653D,6,1,32,32,166,372,1,0,62,1162,0xDBBB,0x00E5,0x0106,0x653D,0xF38A,0x0000,0x0000,0x65F8
3_69F7_0103_00F,3,0x69F7,3,1,15,15,44,111,1,0,62,1162,0xC3B4,0x00ED,0x0103,0x69F7,0xF38B,0x0000,0x0000,0x6A23
0_3796_0012_00A,0,0x3796,18,0,10,10,172,362,1,0,60,3590,0xB8AE,0x00AD,0x0012,0x3796,0xF082,0x0000,0x0000,0x3859
3_72FE_0110_02F,3,0x72FE,16,1,47,47,602,1259,1,0,60,1243,0x9061,0x00CC,0x0110,0x72FE,0xF38E,0x0000,0x0000,0x75E6
3_8580_0109_032,3,0x8580,9,1,50,50,428,914,1,0,60,4748,0xB886,0x019C,0x0109,0x8580,0xF38F,0x0000,0x0000,0x873B
3_6058_0108_038,3,0x6058,8,1,56,56,396,856,1,0,57,1167,0xDEA6,0x00D9,0x0108,0x6058,0xF389,0x0000,0x0000,0x6211
2_0B2E_0109_03C,2,0x0B2E,9,1,60,60,470,1008,1,0,54,4089,0xB87C,0x0156,0x0109,0x0B2E,0xF282,0x0000,0x0000,0x0D42
3_9972_0112_047,3,0x9972,18,1,71,71,772,1623,1,0,53,5224,0xB871,0x0106,0x0112,0x9972,0xF392,0x0000,0x0000,0x9E65
3_2700_0116_03E,3,0x2700,22,1,62,62,1082,2234,1,0,52,4793,0x7032,0x0062,0x0116,0x2700,0xF391,0x0000,0x0000,0x2C4F
3_81ED_010F_03D,3,0x81ED,15,1,61,61,525,1119,1,0,52,4088,0xB87B,0x0134,0x010F,0x81ED,0xF38F,0x0000,0x0000,0x857B
0_3392_0009_035,0,0x3392,9,0,53,53,373,807,1,0,51,3377,0xB17C,0x00CD,0x0009,0x3392,0xF082,0x0000,0x0000,0x3577
3_6C3D_0008_038,3,0x6C3D,8,0,56,56,349,762,1,0,48,1149,0xC890,0x014B,0x0008,0x6C3D,0xF3C9,0x0000,0x0000,0x6E00
2_F0C9_0016_059,2,0xF0C9,22,0,89,89,1679,3455,0,47,47,556,0x6C13,0x012E,0x0016,0xF0C9,0xF283,0x4842,0x0000,0xF8E9
2_F0C9_0016_05C,2,0xF0C9,22,0,92,92,1745,3590,0,47,47,560,0x6E12,0x012D,0x0016,0xF0C9,0xF283,0x7021,0x0000,0xF8E9
2_F0C9_0016_056,2,0xF0C9,22,0,86,86,1613,3320,0,45,45,552,0x6B15,0x012F,0x0016,0xF0C9,0xF283,0x0863,0x0000,0xF8E9
3_70E0_0107_018,3,0x70E0,7,1,24,24,164,360,1,0,45,1250,0x856D,0x00DE,0x0107,0x70E0,0xF38E,0x0000,0x0000,0x7183
2_F0C9_0016_05E,2,0xF0C9,22,0,94,94,1779,3660,1,0,43,564,0x6F11,0x012D,0x0016,0xF0C9,0xF283,0x0000,0x0000,0xF8E9
3_9E70_0112_047,3,0x9E70,18,1,71,71,784,1647,1,0,43,5283,0xB871,0x0103,0x0112,0x9E70,0xF392,0x0000,0x0000,0xA363
3_2C54_0118_028,3,0x2C54,24,1,40,40,931,1910,1,0,42,4805,0x4A22,0x0089,0x0118,0x2C54,0xF391,0x0000,0x0000,0x3000
3_8736_000D_037,3,0x8736,13,0,55,55,523,1109,1,0,40,2538,0x7841,0x010D,0x000D,0x8736,0xF38F,0x0000,0x0000,0x8A07
3_89FD_0011_016,3,0x89FD,17,0,22,22,321,672,1,0,40,2548,0x7862,0x0109,0x0011,0x89FD,0xF38F,0x0000,0x0000,0x8B82
3_22E3_0009_023,3,0x22E3,9,0,35,35,311,665,1,27,36,847,0xAB88,0x011C,0x0009,0x22E3,0xF3C0,0x2463,0x0000,0x2441
